department_name,department_id,subdepartment_id,subdepartment_name,kpi_ref_number,kpa_name,kpi_owner_id,kpa_id,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_target,second_quarter_target,third_quarter_target,fourth_quarter_target,budget
Municipal Manager's Office,1,1,Municipal Manager's Office,1,Municipal Transformation and Institutional Development,2,2,25 trainings Facilitated,Number,2,Proof Acceptance/Appoint Letters/ Attendance Registers/ Certificates of attendance or Competence,Nil,25 Trainings Facilitated for Municipal employee and Councilors by June 2017,5 Trainings Facilitated,3 Trainings Facilitated,12 Trainings Facilitated,5 Trainings Facilitated,2300000
Municipal Manager's Office,1,1,Municipal Manager's Office,2,Municipal Transformation and Institutional Development,3,2,Adoption of the reviewed organogram by council,Adoption,2,Council Resolution,Reviewed Organogram adopted  by council in May 2016,Reviewed Organogram adopted by Council in 31 May 2017,N/A,1 archival week (awareness campaign)  conducted,10%  implementation of Electronic document management system,Reviewed Organogram adopted by Council in 31 May 2017,0
Municipal Manager's Office,1,1,Municipal Manager's Office,3,Municipal Transformation and Institutional Development,3,2,Adoption of the reviewed organogram by council,Adoption,3,Council Resolution,Reviewed Organogram adopted  by council in May 2017,1 archival week (awareness campaign)  conducted by June 2017,10%  implementation of Electronic document management system ,10%  implementation of Electronic document management system ,Submission of a List for all disposals to the Provincial Archives,Reviewed Organogram adopted by Council in 31 May 2018,0
Municipal Manager's Office,1,1,Municipal Manager's Office,4,Municipal Transformation and Institutional Development,4,2,1 archival week (awareness campaign)  conducted ,number,3,"Attendance Register, Invitations, Program and Workshop Manual ",workshop conducted in 2015/16 ,40%  implementation of Electronic document management system by June 2017 ,N/A,N/A,1 new servers installed  for backup purposes,10%  implementation of Electronic document management system,60000
Municipal Manager's Office,1,1,Municipal Manager's Office,5,Municipal Transformation and Institutional Development,5,2,Implementation of Electronic document management system ,%,5,Report from the system ,Establishment of the Electronic document management System,List for all disposals submitted to Provincial Archives by June 2017,Appointment of service provider for the installation of backup purposes,Installation of backup servers ,Advertisement of service provider ICT Disaster Recovery Plan ,1 new servers installed  for backup purposes,300000
Municipal Manager's Office,1,1,Municipal Manager's Office,6,Municipal Transformation and Institutional Development,5,2,Submission of a List for all disposals to the Provincial Archives,Number ,5,List of Disposals and Certificate of disposal,Nil,2 new servers installed  for backup purposes  by June 2017,N/A,N/A,N/A,Appointment of service for ICT Disaster Recovery Plan ,0
Municipal Manager's Office,1,1,Municipal Manager's Office,7,Municipal Transformation and Institutional Development,6,2,Installation of two new servers for backup purposes ,Resolutions ,5,"Appointment letter of a service provider signed by Municipal Manager, server ",backup done manually ,Developed ICT Disaster Recovery Plan by June 2017,Advertisement of Service Provider for Development of IT master plan and an IT Business continuity plan,Appointment of Service Provider for Development of IT master plan and an IT Business continuity plan,Installation of Fire proof door and Ceiling,Adoption of IT master plan and an IT Business continuity plan Council,500000
Municipal Manager's Office,1,1,Municipal Manager's Office,8,Municipal Transformation and Institutional Development,6,2,Development of ICT Disaster Recovery Plan ,Resolutions,6,Council resolution ,Disaster Recovery Plan not in place ,Develop IT Master Plan and an IT Business Continuity Plan by June 2017,Appointment of service provider Construction of server room ,100% Construction of server room ,N/A,Handing over of project to the municipality ,100000
Municipal Manager's Office,1,1,Municipal Manager's Office,9,Municipal Transformation and Institutional Development,6,2,Development of an  IT Master Plan  and Continuity Plan,Reports,6,Council resolution,IT policy in place, 100% Completion of construction of Server Room by 30 June 2017,Appointment of service provider for installation of server software,Installation of Server software ,N/A,N/A,600000
Municipal Manager's Office,1,1,Municipal Manager's Office,10,Municipal Transformation and Institutional Development,6,2,Construction of server room ,software ,6,"Appointment letter of a service provider signed by Municipal Manager, completion certificate",ICT office not fully secured against natural disasters,Upgraded version server licenses  of software  by June 2017,Appointment of service provider for installation of Microsoft open volume license ,Installation of Microsoft open volume license ,97% of vacant and budgeted posts filled (below section 56 managers),N/A,200000
