department_id,department_name,subdepartment_id,subdepartment_name,kpi_ref_number,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_actual,second_quarter_target,third_quarter_target,fourth_quarter_target,budget,performance_standard
1,Municipal Manager's Office,1,Municipal Manager's Office,MM01, Water Reticulation in rural villages,% of Households accessing water,28,Jod cards & Pictures,33819 HH,2000,300,700,700,300,A3-Vote 13,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM02,Provision of Electricity,% of Households accessing electricity,28,Completion certificate, 28045 HH,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,A3-Vote 14,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM03,Provision of Sanitation Services,% of household with access to sanitation,28,"Application forms and proof of payment for connection fee, job cards",9789 HH,100% as per request,100% as per request,100% as per request,100% as per request,100% as per request,A3-Vote 12,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM04,Solid Waste Removal,% of households accessing solid waste removal,28,Completion certificate,30567 HH,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,100% of all Reqeust,A3-Vote 11,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM05,Free Basic Water,% of Indigent Households have access tofree basic Water,26,"Application forms and proof of payment for connection fee, job cards",1043,100% as per request,100% as per request,100% as per request,100% as per request,100% as per request,A3-Vote 13,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM06,Free Basic Electricity,% of Indigent Households have access to free basic Electricity,26,"Application forms and proof of payment for connection fee, job cards",1043,100% as per request,100% as per request,100% as per request,100% as per request,100% as per request,A3-Vote 14,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM07,Free Basic Solid Waste Removal,% of Indigent Households have access to free solid removal,26,"Application forms and proof of payment for connection fee, job cards",1043,100% as per request,100% as per request,100% as per request,100% as per request,100% as per request,A3-Vote 11,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM08,Free Basic Saitation,% of Indigent Households have access tof ree basic sanitation,26,"Application forms and proof of payment for connection fee, job cards",1043,100% as per request,100% as per request,100% as per request,100% as per request,100% as per request,A3-Vote 12,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM09,Capital Expenditure,% of capital budget spent on capital projects,38,Monthly and Quarterly Finance Report," R 102,260,000.00 ",100%,20%,45%,75%,100%,A5-Capex,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM10,Operational Expenditure,% of operational budget spent on operations,39,Monthly and Quarterly Finance Report," R 362,118,000.00 ",100%,25%,50%,75%,100%,A3-Opex,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM11,Performance Assessments,% of assessment conducted for all managers on performance contracts,40,Performance appraisals and PoEs for managers on performance contracts.,100%,100%,100%,100%,100%,100%,A3-Vote 1,KPI Not Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM12,Job creation,Number of job opportunites created,22,Appointment letters,60,60,_,30,_,30,A3-Vote 10,KPI Almost Met
1,Municipal Manager's Office,1,Municipal Manager's Office,MM13,Diary Management,% of appointments coordinated,14,Annual calendar and ad hoc requests and appointment register.,100%,100%,100%,100%,100%,100%,A3-Vote 1,KPI Almost Met
1,Municipal Manager's Office,20,Executive Mayor's Office,MM14,Correspondence  Management,% of correspondence channelled to relevant Department within a day of receipt,14,Correspondence Register,100%,100%,100%,100%,100%,100%,A3-Vote 1,KPI Almost Met
2,FINANCIAL SERVICES,21,FINANCE,FIN1,Audit Findings  Pregress,% of findings resolved,39,Progress Implementation Reports,Unqualified Audit with findings,100%,0,0,50%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN2,Financial Reporting ,No. of  sec 71 monthly reports approved and submitted on time,42,Proof of Submission of reports to accounting officer and Executive Mayor, Submitted 12  Section 71 reports` to Accounting Officer & Executive Mayor,12,3,3,3,3,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN3,Financial Reporting ,No. of monthly reports,42,Proof of Submission of reports to National Treasury.,12 Submitted returns to National Treasury within 10 working days,12,3,3,3,3,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN4,Financial Reporting ,Mid-year assessment reports to NT/PT,42,Proof of Submission of reports to National Treasury by 25 Jan 2017,Submitted an approved Mid-year assessment report by 25 Jan 2017 to NT/PT,1,0,0,1,None,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN5,Financial Reporting ,Adjustment budget submitted to NT/PT,42,Proof of Submission of report NT/PT by 28 February 2017,Submitted an approved Adjustment Budget by 28 Feb 2017 to NT/PT,1,0,0,1,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN6,Financial Reporting ,Adopted draft budget submitted to NT/PT,42,Proof of Submission of report NT/PT by 31 Mar 2017,Submitted an adopted draft budget by 31 March 2017 to NT/PT,1,0,0,1,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN7,Financial Reporting ,Submission of an approved final budget to NT/PT,42,Proof of Submission of report NT/PT by 31 May 2017,Submitted approved final budget to NT/PT by 31 May 2017,One (1) Council Approved 2017/18 budget,0,0,0,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,7,Expenditure,FIN8,Payment of creditors,100% compliance with MFMA section 65 (2) (e) ,48,Proof of Payment and invoice with the date that the invoice  was submitted to Finance,Payments reports for 2015/16.,12 Payments reports,100%,100%,100%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,7,Expenditure,FIN9,Bank reconciliations,Number of bank reconciliations compiled and approved by CFO by the 10th of every month,48,Reconcilations submittted and approved by CFO for each Quarter.,12 Reconciliations,12 Reconciliations,3,3,3,3,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Almost Met
2,FINANCIAL SERVICES,9,Revenue,FIN10,Billing,100 %  billing  By the 7th  working day of each month ,50,Rates Revenue Monthly Budget  and Monthly billing reports generated from the system.,100 %  billing  By the 7th  working day of each month ,100%,100%,100%,100%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,9,Revenue,FIN11,Revenue Collection,% of revenue collected every month,43,Collection rate report,Average actual collection rate for 2015/16 FY,75% average actual collection rate,75% average actual collection rate for the first QRT,75% average actual collection rate for the 2nd QRT,75% average actual collection rate for the 3rd QRT,75% average actual collection rate for the 4th QRT,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN12,Financial Management,% of cash flow avaliable to cover debt service payments due,39,Finance Reports on Debtors ,2.1`%,"2,1 Times",none,none,none,"2,1 Times",Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN13,Financial Management,% of total oustanding debtors to annually revenue actually received,39,Monthly Income received report,80.00%,90%,80%,80%,85%,90%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,6,Budget And Financial Reporting,FIN14,Financial Management,% of cash and investment avaliable to monthly fixed operating expenditure,39,Statements of investments and operating expenditure report,2 Times,2 Times,none,none,none,2 Times,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,9,Revenue,FIN15,Indigent Register,Quarter in which  indigent register  Approved,45,Approved indigent register,1173 beneficiaries registered for 2015/16 FY,100% processing of applications received.,100% processing of applications received.,100% processing of applications received.,100% processing of applications received.,100% processing of applications received.,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN16,Asset Management,100% compliance with MFMA section 63 (1) (a) and (2) (a – c),49,"Approved Asset register ,additions and delivery note",Asset register fully updated with additions for the 2015/16 financial year ,100%,100%,100%,100%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN17,Tenders awarded,100% on tenders awarded,39,Tenders register of appointed companies and tender files., Register of tenders awarded in 2015/16 FY,100%,100%,100%,100%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN18,Asset Management,Number of inventory counts conducted and approved by the CFO,39,Memos  and Quarterly stock taking reports.,Inventory count sheets for 2015/16 financial year    ,2,None,1,None,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN19,Number of SCM Quarterly reports submitted  as prescribed in terms of Regulation 6(3) of the SCM Regulations,Number of SCM reports submitted,39,Acknowledgement of receipts by the Executive Mayor and Reports,New,4 SCM Quarterly reports submitted in terms of the regulation 6(3) of the SCM Regulations,1,1,1,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN20,Annual SCM Reports,Submission of Annual SCM Report by 30 July 2016,39,Minutes of Mayoral ,New,Annual SCM reports submitted by 30 July 2016,1,0,0,0,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN21,Annual procurement plans in line with SDBIP,Submission Approved Procurement Plan,47,Approved Procurement Plan,New,1,0,0,0,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,10,Supply Chain Management,FIN22,Number of Deviation from the normal SCM processes reports submitted,No. of SCM deviation reports submitted.,44,SCM Deviation reports council resolutions,New,4,1,1,1,1,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,8,ICT,FIN23,Managing Communication,% of queries responded to within 24 hrs.,47,Queries register showing details of time call logged and time query was resolved.,100%,2420%,100%,100%,100%,100%,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
2,FINANCIAL SERVICES,8,ICT,FIN24,Data Back and DRP,% of data backed up as planned,44,Monthly backup report/Print Screen,100 %  of data backups and applications for the 2015/16 FY conducted,Municipal data and applications backed up offsite and recoverable by quarter one (Amsterdam),100% data backups for the first quarter performed,100% data backups for the second quarter performed,100% data backups for the third quarter performed,100% data backups for the fourth quarter performed,Refer to Opex A3 : Vote 2 - General Expenses-Employee Related,KPI Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS01,Road safety campaigns,No. of safety campaigns,55,Minutes of meetings and attendance registers,30,32 road safety campaigns conducted,8,8,8,8,A3-Vote 8,KPI Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS02,Drivers learners class,No. of  learner Class Conduct,53,Register & Report,400,100% of the applicant,100%,100%,100%,100%,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS03,Drivers licence test,No. of Driver Licence Test Conducted,53,Register and Natis System Statics Reports,1800,100% of the applicant,100%,100%,100%,100%,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS04,Fire awareness campaigns,Number of  fire awareness campaigns conducted,52,"Attendance, reports and pictures with date and venue",15,16,4,4,4,4,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS05,Road Blocks,No. road Blocks  to be conducted ,54, Detailled Reports,N/A,30 Road Blocks,5,10,10,5,A3-Vote 8,KPI Well Met
3,COMMUNITY SERVICES,11,DEPARTMENT OF COMMUNITY SERVICES,DCS06,Transport forum meetings,No. of transport  forum meetings conducted,65,Minutes of meetings and attendance registers.,New,4,1,1,1,1,A3-Vote 8,KPI Well Met
